nom;prix_unitaire;stock_disponible
Artemether 20mg/ml injection, ampoule;450.130000;.000000
Artemether 80 mg, injectable, ampoule;508.200000;5673.000000
ArtÃ©sunate + Amodiaquine 100/270 mg, 3 comprimÃ©s;116.160000;.000000
ArtÃ©sunate + Amodiaquine 100/270 mg, 6 comprimÃ©s;180.840000;.000000
ArtÃ©sunate + Amodiaquine 25mg + 67,5mg ComprimÃ©;.000000;.000000
ArtÃ©sunate + Amodiaquine 50mg + 135mg ComprimÃ©;.000000;.000000
ArtÃ©sunate 100mg cpsule rectale;.000000;.000000
ArtÃ©sunate 30mg injection;.000000;.000000
ArtÃ©sunate 60mg injection;.000000;.000000
Aspirine Cardio 100MG CP, B/30;1186.800000;.000000
Atazanavir 300mg ComprimÃ©;.000000;.000000
Atazanavir300mg+ritonavir 100mg comp;.000000;.000000
Atropine Sulfate 1mg/ml 1 ml, ampoule;277.200000;11040.000000
Auto V2 Univeral Cartridge Based Sample Prep Device;.000000;.000000
Auto-Test VIH;.000000;.000000
Azitrine 250mg CP, B/5;1990.650000;.000000
Bande de crÃªpe 10 cm X 4 m;389.400000;5334.000000
Bande de crÃªpe 7.5 cm x 4 m;330.000000;.000000
BANDE IMMO DELTA LITE+ BLANC 3,6M*10CM;.000000;.000000
BANDE IMMO DELTA LITE+ BLANC 3,6M*12,5CM;.000000;.000000
BANDE IMMO DELTA LITE+ BLANC 3,6M*7,5CM;.000000;.000000
Bandelette GlycÃ©mie LabPro, B/50;13200.000000;.000000
Bandelettes glycemie Accu-Check , B/50;13200.000000;.000000
Bandelettes glycemie VERI-Q , B/50;13860.000000;.000000
Batery Pack of UPS 3000VA;.000000;.000000
Battery pack for UPS 3000 VA;.000000;.000000
Battery pack for UPS 700 VA;.000000;.000000
Battery Supply Unit with adapter able set for Primo Star iLED;.000000;.000000
Battery Unit for Carl Zeiss Primo Star;.000000;.000000
BeneHeart C2External Defibrilator;.000000;.000000
Benzathine Benzyl PÃ©nicilline 2,4 MUI injection;382.300000;5390.000000
Benzyle Benzoate Solution 25% , diluÃ©e, 125 ml Flacon;1089.000000;.000000
BenzylpÃ©nicilline Sodique 1MUI injection;196.380000;.000000
BenzylpÃ©nicilline Sodique PPI 5 MÃ©ga UI, vial;462.000000;6600.000000
Betadine 10% Dermiq 125ML JAUNE;1553.650000;.000000
BÃ©tadine vaginal 10% SOL, Bleu 125Ml;1238.550000;.000000
Bio-hazard bag;.000000;.000000
Bleu de mÃ©thylÃ¨ne, poudre/UnitÃ©;.000000;.000000
Blood Collection Neonates;.000000;.000000
Blouse d'isolation sans poignet;.000000;.000000
Blouses chirurgicales type gowns taille L;.000000;.000000
Bon Chemin de SantÃ© (CPS);108.000000;12210.000000
BOOTS PVC, paire;.000000;.000000
BUCKET FOR SWING OUT ROTOR (ROTINA 380/380R) SET OF 4Â 380/380R;.000000;.000000
Bunsen bumer;.000000;.000000
BupivacaÃ¯ne  0,5% injection;.000000;.000000
C.A.C 1000 CP Eff T/10;1534.100000;.000000
Cabotegravir 600mg Inject;.000000;.000000
Cahier de bon de commande/facturation;2900.000000;572.000000
Cahier de Caisse analytique;1182.000000;260.000000
Cahier de dÃ©penses du COGE;1182.000000;403.000000
Cahier de dÃ©penses du commis;3000.000000;103.000000
Caisse pour Valise d'Urgence Niveau CSI/CMA;15180.000000;.000000
Caisse pour Valise d'Urgence Niveau HD/HR;.000000;.000000
Calcid DENK CP EFF, T/20;4206.700000;.000000
Calcium Gluconate 10% 1 g / 10 ml, ampoule;165.000000;.000000
Calsource 500MG CP Eff, B/20;1938.900000;.000000
Cap, surgical, bouffant, non-woven.box/100;.000000;.000000
CarbocystÃ©ine 2% sirop;924.000000;985.000000
CarbocystÃ©Ã¯ne 2g/100 ml, flacon de 125 ml;660.000000;.000000
CarbocystÃ©ine 5% sirop;825.000000;1100.000000
CarbocystÃ©ine 5% sirop, 200ml;1452.000000;.000000
Care Star Malaria HRP-2;.000000;.000000
Carnet de ReÃ§u des MÃ©dicaments (Facturier Patient);792.000000;3160.000000
Carnet de SantÃ© GM (Consultation curative);165.000000;12400.000000
Carte de Consultation PrÃ©natale (CPN);62.000000;34327.000000
Case for transport and storage microscop;.000000;.000000
Catheter I.V. Type Court, Luer, UU, section 0.70 mm, 24G;231.000000;7215.000000
Catheter I.V. Type Court, Luer, UU, section 0.80 mm, 22G;231.000000;5755.000000
Catheter I.V. Type Court, Luer, UU, section 1.10 mm, 20G;207.240000;3428.000000
Catheter I.V. Type Court, Luer, UU, section 1.30 mm, 18G;207.240000;2230.000000
CE, X12 Patient Monitor, EDAN1;.000000;.000000
Cefidis 200MG CP, B/10;2725.500000;.000000
Cefixime 200 Mg Cp;.000000;.000000
Cefixime SP 100MG PDR, Fl/6ML;3915.750000;.000000
CÃ©fixime SP 200Mg CP, B/10;3897.350000;.000000
Cefotaxime 1000mg injection;792.000000;.000000
Ceftriaxone + Eau 1000mg/3,5ml injection;528.000000;15515.000000
Ceftriaxone 1000mg/3,5ml injection;440.000000;26495.000000
Charlottes;.000000;.000000
Chlorpheniramine MalÃ©ate 4 mg, sous blister, comprimÃ©s;8.000000;139700.000000
Chlorure de sodium (Nacl) 0,9%/500ml Solution;.000000;.000000
Cimetidine 200MG INJ;66.000000;2000.000000
Ciproflo UBI 100MG INJ F/50ML;1170.700000;.000000
Ciprofloxacine 250mg/5ml Suspension orale;.000000;.000000
Ciprofloxacine 2mg/ml injection;1452.000000;525.000000
Ciprofloxacine, 500 mg, ComprimÃ©s;67.860000;30300.000000
Clamp de Barr (ombilical);105.000000;1058.000000
Clavicin 1G/200MG INJ B/1;1787.100000;.000000
Clavicin XR 1G CP, B/10;3393.650000;.000000
Clear Weld Heat Seal (Feuillet adhesive);.000000;.000000
Clindamycine 150mg gÃ©lule;.000000;.000000
Clindamycine 300mg gÃ©lule;.000000;.000000
Cloxaciline Sirop 250MG/5ML Fl;1452.000000;517.000000
Cloxacilline + Eau 500mg/2,5ml, 1000mg/5ml injection;303.600000;.000000
Cloxacilline 250 mg, sous blister, Comp.;17.700000;.000000
Cloxacilline 250 mg, sous blister, GÃ©lule.;17.700000;.000000
Cloxacilline 500mg GÃ©lule;66.000000;20370.000000
Cloxacilline 500mg/2,5ml, 1000mg/5ml injection;290.400000;2000.000000
Cloxacilline Solution orale 125mg/5ml injection;.000000;.000000
Colorant M.G.G, 200ml;3680.000000;.000000
Combinaison de protection;.000000;.000000
Complexe vitaminique B1 B6 B12 15 mg comprimÃ©;.000000;.000000
Condom (prÃ©servatif FÃ©minin);264.000000;.000000
Condom (prÃ©servatif masculin);3.630000;.000000
Corps de pompes Vacutaner;.000000;.000000
Coton CardÃ©, Rouleau, 500 g, piÃ¨ce;2614.000000;.000000
Coton Hydroplhile, Rouleau, Non StÃ©rile, 500 g, piÃ¨ce;3036.000000;137.000000
Cotrimoxazole (Sulfamethoxazole + Trimethoprine) (400mg + 80 mg)Comp;17.160000;59200.000000
Cotrimoxazole (Sulfamethoxazole + Trimethoprine) (400mg+80mg)/5ml inj;.000000;.000000
Cotrimoxazole (Sulfamethoxazole + Trimethoprine) 240 mg / 5 ml, Suspe;759.000000;2965.000000
Cotrimoxazole (Sulfamethoxazole + Trimethoprine) 800 mg + 160mg injec;.000000;.000000
Cotrimoxazole (Sulfamethoxazole+Trimethoprine) 800mg+160mg Cp;.000000;.000000
Coverall, protection,catlll, type 6b.L;.000000;.000000
Coverall, protection,catlll, type 6b.M;.000000;.000000
Coverall, protection,catlll, type 6b.XL;.000000;.000000
COVID-19 AG Antigen card test (Nasopharyn);.000000;.000000
Crachoir en plastique avec couvercle;.000000;.000000
CRP;.000000;.000000
Cryo laser sheets;.000000;.000000
Cryotube Sterile self-standing;.000000;.000000
Cyteal Sol Ext, F/250ML;2679.500000;.000000
Darunavir 300mg ComprimÃ©;.000000;.000000
Darunavir 600mg ComprimÃ©;.000000;.000000
Depo-Provera 150 mg/ml ampoule inj., unitÃ©;72.600000;.000000
Dermobacter, solution mous. pour application locale, fl de 300 ml;1782.000000;.000000
"DÃ©sinfectant for simultaneous disinfecting ""klorsept 87""";.000000;.000000
DÃ©tergents;.000000;.000000
Determine Early Detect;.000000;.000000
Determine Hepatite;.000000;.000000
Determine HIV 1/2 TEST KIT  DE 100;.000000;.000000
Determine TB LAM Ag;.000000;.000000
DexamÃ©thasone 4mg sous blister, ComprimÃ©s;.000000;.000000
DexamÃ©thasone 4mg/ml injection;132.000000;36924.000000
DexamÃ©thasone 5mg, sous blister, ComprimÃ©s;27.270000;.000000
Diagnostic consumable kit ZN disposables standard;.000000;.000000
Diagnostic cunsumable kit ZN chemicals standard;.000000;.000000
Diazepam 5 mg, sous blister,  ComprimÃ©s;2.420000;.000000
Diazepam 5 mg/ml, 10 mg / 2 ml, ampoule;660.000000;16842.000000
DiclofÃ©nac Sodique 25mg/ml, 75 mg/3ml, Ampoule;85.500000;47105.000000
DiclofÃ©nac Sodique 50 mg, sous blister, ComprimÃ©s;6.230000;59300.000000
Dicynone 250MG AMP INJ B/4;2158.550000;.000000
Digital timer, 2 channels;.000000;.000000
Disposable Apron;.000000;.000000
Disposable Boufant cap;.000000;.000000
Disposable cap;.000000;.000000
Disposable Face Shield;.000000;.000000
Disposable isolation Gown;.000000;.000000
Dispositif Intra-Uterin (DIU), unitÃ©;25.000000;.000000
DNA Extraction Kit loopam, 90 tests;.000000;.000000
Doliprane 1000MG CP EFF B/8;1124.700000;.000000
DolutÃ©gravir sodique 10mg comprimÃ©;.000000;.000000
DolutÃ©gravir sodique 50mg comprimÃ©;.000000;.000000
Doxycycline 100mg ComprimÃ©;33.000000;59400.000000
Doxycycline 250mg ComprimÃ©;.000000;.000000
Doxycycline 500mg ComprimÃ©;.000000;.000000
Doxycycline CRE 100 BL10X10CES;3599.500000;.000000
Drying rack for stainless steel, 40 positions;.000000;.000000
Dynamogen Amp Buv B/20;3569.600000;.000000
EAD Hook (Green);.000000;.000000
Eau de javel;.000000;.000000
Eau OxygÃ©nÃ©e 10V GILB ET/250ML;1666.350000;.000000
Eau OxygÃ©nÃ©e 10V GILB FL/120 ML;.000000;.000000
Eau pour prÃ©paration injectable (EPPI) 10ml injection ou flapule;66.000000;900.000000
Eau pour prÃ©paration injectable (EPPI) 5ml injection ou flapule;32.000000;.000000
Efavirenz 200mg ComprimÃ©;.000000;.000000
Efavirenz 30 mg/ml suspension buvable;.000000;.000000
Efavirenz 50 mg, capsules;.000000;.000000
Efavirenz 600mg ComprimÃ©;.000000;.000000
Efferalgan 150MG SUPPO/10 AFR;855.600000;.000000
Efferalgan Cod CP, EFF/16;1660.600000;.000000
Efferalgan Med 500MG CP EFF/16;1127.000000;.000000
Electrical Suction pump;.000000;.000000
Eludril Sol, Fl/90ML;1370.800000;.000000
Embout Blanc  pour Micropipette;12.300000;.000000
Embout Bleu pour Micropipette;12.300000;.000000
Embout Jaune pour Micropipette;12.300000;.000000
Eosine AQ 2% CPF Fl/100ML;1312.150000;.000000
EphÃ©drine 25mg/ml  injection;3300.000000;.000000
Equilibre (MÃ©droxyprogesterone AcÃ©tate) 150mg/ml injection;75.000000;.000000
Erythromycine 125mg/5ml sirop (F/100ml);1050.000000;.000000
Erythromycine 250mg ComprimÃ©;.000000;.000000
Erythromycine 250mg/5ml sirop;.000000;.000000
Erythromycine 500mg ComprimÃ©;72.600000;9800.000000
Ethambutol 100mg ComprimÃ©;.000000;.000000
Ethambutol 400mg ComprimÃ© ;.000000;.000000
Ethambutol 500mg ComprimÃ© ;.000000;.000000
Ethanol Absolu 99,8% Flacon de 1L;.000000;.000000
EXHAUST FILTER (2 PIECES ) FOR MARS 900/1200 AND MARS PRO 900/1200;.000000;.000000
Eye wear;.000000;.000000
Face shields Model 33x22 cm;.000000;.000000
Faceshield, Fog resistant, Fullface (VisiÃ¨re);.000000;.000000
Fasc Count Papier Thermique BD Rouleaux;.000000;.000000
FDR Xair System-Full kit with thyroid shield+AI Hardware and Qure AI,;.000000;.000000
Fer Acide folique +complexe Vit Gel ;57.500000;.000000
Fer Acide Folique Vit B12 ( F/200ml);825.000000;750.000000
Ferreux Sel + Folique Acide (66 mg Fe2+ + 0.25 mg) ComprimÃ©s;9.000000;252000.000000
Ferromix SP Fl/120ML MEPACO;2133.120000;250.000000
Fiche de Stock Commis;75.000000;760.000000
Fil de Suture NR, Nylon NÂ° 2/0, sertie, Aiguille Ronde, pce;1320.000000;2.000000
Fil de Suture NR, Nylon NÂ° 2/0, sertie, Aiguille tranchante, pce;1320.000000;652.000000
Fil de Suture rÃ©sorbable Vicryl NÂ° 2/0 sertie,  Aiguille ronde, pce;2100.000000;.000000
Fil de Suture rÃ©sorbable Vicryl NÂ° 2/0 sertie,  Aiguille Tranch, pce;2100.000000;.000000
Fil de Suture rÃ©sorbable Vicryl NÂ° 3/0 sertie,  Aiguille tranch, Pce;2100.000000;.000000
Fil de Suture rÃ©sorbable Vicryl NÂ°0 sertie, Aiguille ronde, pce;2100.000000;.000000
Fil de Suture rÃ©sorbable Vicryl NÂ°1 sertie, Aiguille ronde, pce;2100.000000;270.000000
Fil de Suture rÃ©sorbable Vicryl NÂ°1 sertie, Aiguille tranch, pce;2100.000000;12.000000
Fil de Suture rÃ©sorbable Vicryl NÂ°2 sertie, Aiguille ronde, pce;2100.000000;.000000
Fil de Suture rÃ©sorbable Vicryl NÂ°2 sertie, Aiguille tranch, pce;2100.000000;.000000
Fil de Suture Vicryl 4/0;1500.000000;.000000
Fil SNR, polyam NÂ°2,  Aiguille Triangulaire;1306.830000;.000000
Fil SR, Ac polygly, NÂ°2/0, Serti, Aiguille Ronde;1861.160000;.000000
Fil SR, acid polygly, NÂ°0_75 Aiguille Ronde 40;1746.330000;.000000
Fil SR, acid polygly, NÂ°2/0_75 Aiguille Ronde 40;1746.330000;.000000
Filter Tips 1000 Âµl;.000000;.000000
Filter Tips 2 - 20 Âµl;.000000;.000000
Filter Tips 2 - 200 Âµl;.000000;.000000
Finger oximeter;.000000;.000000
First reponse HIV / Syphilis Combo;.000000;.000000
First reponse HIV-1-2 card test;.000000;.000000
Fixed volume precision micropipette 6Âµl;.000000;.000000
Flacon en Verre 100ml;145.000000;.000000
Flacon en Verre 125ml + Bouchons;250.000000;.000000
Flacon Plastique 1 litre + Bouchon blanc;.000000;.000000
Flacon Plastique, avec Couvercle 100 cc, ;145.200000;.000000
Flucazol 50MG PDR SUSP FL/60ML;1073.450000;158.000000
Fluconazole 2mg/ml, 200mg/100ml injection;.000000;.000000
Fluconazole 400mg ComprimÃ©;.000000;.000000
Fluconazole, 200mg ComprimÃ©;130.000000;7200.000000
FlumazÃ©nil 0,5mg/5ml injection;.000000;.000000
FluoreceÃ¯ne sodique 10% injection;.000000;.000000
FluorescÃ©ine 1% Collyre;.000000;.000000
FluorescÃ©ine 10% Injection;.000000;.000000
FluoromÃ©tholone 0,1% Collyre;.000000;.000000
FluoxÃ©tine 20mg ComprimÃ©/gÃ©lule;.000000;.000000
Flupex 200MG CP, B/10;2633.500000;.000000
FluphÃ©nazine 25mg/ml/5ml injection;.000000;.000000
Forceps for microscope slides 11,5cm;.000000;.000000
Formol 40% solution;.000000;.000000
Fuchisne Coloration Gram f/1 litre;.000000;.000000
Furosemide  40 mg, sous blister, ComprimÃ©s;4.300000;.000000
FurosÃ©mide 10 mg/ml, 20 mg/2ml, ampoule;49.900000;70.000000
FurosÃ©mide 10mg/ml/2ml injection;.000000;.000000
FurosÃ©mide 20 mg/ 2 ml, ampoule;.000000;.000000
FurosÃ©mide 20mg/5ml sirop;.000000;.000000
Fuschine poudre, fl/25 g;.000000;.000000
Fuschine solution 1000 ml;.000000;.000000
Fuschisne PhÃ©niquÃ© f/250 ml;.000000;.000000
Fushine Basique /UnitÃ©;.000000;.000000
Ganciclovir 250mg ComprimÃ©;.000000;.000000
Ganciclovir 500mg ComprimÃ©;.000000;.000000
Gants Chirurgicaux, StÃ©riles, Usage Unique, taille 7, paire;184.700000;.000000
Gants Chirurgicaux, StÃ©riles, Usage Unique, taille 7.5, paire;264.000000;2836.000000
Gants Chirurgicaux, StÃ©riles, Usage Unique, taille 8, paire;237.600000;.000000
Gants Chirurgicaux, StÃ©riles, Usage Unique, taille 8.5, paire;184.700000;.000000
Gants d'Examen, nitrite (7-8) Medium;.000000;.000000
Gants d'Examen, nitrite (8-9) Medium;.000000;.000000
Gants d'Examen, Non StÃ©rile, Usage Unique Taille Medium (6-7);184.700000;.000000
Gants d'Examen, Non StÃ©rile, Usage Unique Taille Medium (7-8);46.200000;39700.000000
Gants d'Examen, Non StÃ©rile, Usage Unique, Taille Large (8-9) ;85.800000;48500.000000
Garrot Elastique largeur(Tourniquette) 18mm;4191.000000;.000000
Gaviscon Susp 10ML Sach, B/24;2042.400000;.000000
Gaze Hydrophile, Compresse, Non StÃ©rile, 10 x 5 cm;118.800000;.000000
Gaze Hydrophile, Compresse, StÃ©rile, 10 x 10 cm, 4 plis (40 x 40 dÃ©pl;79.200000;.000000
Gaze Hydrophile, Rouleau, Non StÃ©rile, 65 cm x 100 m;10527.000000;.000000
Gaze Hydrophile, Rouleau, Non StÃ©rile, 90 cm x 91 cm;13127.000000;.000000
Gel antibactÃ©rien Fl/500 ml;.000000;.000000
Gel hydro alcoolique Fl/500 ml;6600.000000;.000000
Gel Lubrifiant 20ml, Tube;.000000;.000000
Gel lubrifiant sachet;.000000;.000000
Gel lubrifiant tube;.000000;.000000
Gel pour Ã©chographie, 1l;5874.000000;.000000
Gel pour Ã©chographie, 250 ml;990.000000;.000000
Gelofusine Inj 4%, Fl/500ML;3946.800000;.000000
Geloplasma;3946.800000;.000000
Generic HIV Charge Virale CE Test, kit 440;.000000;.000000
GeneXpert HIV-1 VL-CE;.000000;.000000
Genexpert IV R2 4 modules, configuration D;.000000;.000000
Genexpert, X pert, Cartridges, MTB/RIF;.000000;.000000
Genpar Inj IV 1000MG, FL/100ML;1168.400000;.000000
Genscreen Ultra HIV Ag/Ab;.000000;.000000
Gentamicine 20mg/ml injection;.000000;.000000
Gentamicine 40mg/ml injection ;.000000;.000000
Gentamicine 80mg/ml injection   ;85.800000;36887.000000
Gentamycine 0,3% Pommade ;.000000;.000000
Gentamycine Collyre, 10 mg/ml, 10ml, Flacon Collyre;462.000000;16462.000000
GenXpert HIV-1, QUAL CE-IVD;.000000;.000000
Giemsa Rapide f/250 ml;.000000;.000000
Giemsa stain modified solution (contain methanol) f/500ml;.000000;.000000
Glibenclamide 2,5mg comprimÃ©;.000000;.000000
Glibenclamide 5 mg, sous blister,  ComprimÃ©s;2.900000;.000000
Gliclazide 30mg comprimÃ©;.000000;.000000
GlucomÃ¨tre Urit-25;.000000;.000000
Glucose (Dextrose) 5% 500 ml, Perf.;759.000000;14975.000000
Glucose 10%/250ml Solution ;.000000;.000000
Glucose 10%/500ml Solution ;687.260000;.000000
Glucose 30%/500ml Solution ;.000000;.000000
Glucose 5% + Sodium Chlorure 0.9% 500ml, Perf.;766.450000;.000000
Glucose 5%/250ml Solution ;550.000000;.000000
Glycerine 200 Litres;.000000;.000000
Goggles, Protective, indirect side venti;.000000;.000000
Gonad/Ovarian Shield;.000000;.000000
Gosereline 3,6mg injection;.000000;.000000
Gosereline 3,6mg injection;.000000;.000000
Gown Isolation (sur blouse);.000000;.000000
Gown, isolation, nonwoven disp.L;.000000;.000000
Gown, isolation, nonwoven, disp, XL;.000000;.000000
GrisÃ©ofulvine 500mg ComprimÃ©;59.400000;.000000
Groupakit (5x10 ml);.000000;.000000
GXT NA Extraction kit CE/IVD;.000000;.000000
Hair cover;.000000;.000000
HalopÃ©ridol 5 mg, ComprimÃ©s;4.220000;.000000
Halotane pour anesthÃ©sie 250ml, flacon;15794.000000;.000000
Halothane 250ml inhalation;.000000;.000000
Hand disinfectant, 1000ml;.000000;.000000
HBsAg 2 set;.000000;.000000
HÃ©parine non fractionnÃ©e sodique 20 000UI/ml injection;.000000;.000000
HÃ©parine non fractionnÃ©e sodique 5 000UI/ml injection;.000000;.000000
HETTICH REFRIGERATED BENCH TOP CENTRIFUGE ROTINA 380R w/o ROTOR;.000000;.000000
HIV 1/2 Ag/Ab test, 4Ã¨ gÃ©nÃ©ration;.000000;.000000
Hospital beds, intensive care, mecanical;.000000;.000000
Huile Ã  immersion 100 ml;.000000;.000000
Huile Ã  immersion 50 ml;.000000;.000000
Huile Ã  Immersion f/100 ml;.000000;.000000
Huile Ã  immersion V.M/UnitÃ©;.000000;.000000
Huile Camphree 100ML Ruther;1802.050000;.000000
Humaloop Tuberculosis MTBC;.000000;.000000
Humanlop T 50/60 Hz, 230 VA;.000000;.000000
Hyclone Molecular Biology grade water Fl. 1;.000000;.000000
Hydrochlorothiazide 25mg comprimÃ©;.000000;.000000
Hydrochlorothiazide, 50 mg, ComprimÃ©s;2.270000;.000000
Hydrocortisone 1% crÃ¨me;.000000;.000000
Hydrocortisone 100mg/Flacon injection;167.240000;.000000
Hydrocortisone 10mg comprimÃ©;.000000;.000000
Hydrocortisone 20mg comprimÃ©;.000000;.000000
Hydrocortisone 5mg comprimÃ©;.000000;.000000
Hydrocortisone Succinate Sodique PPI 100 mg, vial;167.240000;.000000
Hydroxychloroquine 100 mg cp;.000000;.000000
Hydroxychloroquine 200mg comprimÃ©;.000000;.000000
Hydroxyde de MagnÃ©sium 500mg comprimÃ©;.000000;.000000
Hydroxyde de MagnÃ©sium 550mg/10ml gel en sachet;.000000;.000000
Hyposulfate de Sodium 250 mg comprimÃ©;.000000;.000000
Hyposulfate de Sodium 250mg/ml/50ml injection;.000000;.000000
Ibupar (IbuprofÃ¨ne + ParacÃ©tamol) suspension, fl/100ml;957.000000;1000.000000
IbuprofÃ¨ne 100mg/5ml sirop;.000000;.000000
IbuprofÃ¨ne 400 mg, sous blister, ComprimÃ©s;19.800000;264030.000000
Ifosfamide 1g/ampoule injection;.000000;.000000
Imatinib 100mg comprimÃ©;.000000;.000000
Immunoglobuline anti HBS 100UI injection;.000000;.000000
Immunoglobuline anti HBS 150UI injection;.000000;.000000
Immunoglobuline Humaine Anti D 200microgrammes/2ml injection;.000000;.000000
Immunoglobuline Humaine Anti D 300microgrammes/2ml injection;.000000;.000000
Immunoglobulines  IG anti VHB 100UI injection;.000000;.000000
Immunoglobulines antirabique 150UI/ampoule injection;.000000;.000000
Immunoglobulines antitÃ©tanique humaine 500UI/ampoule injection;.000000;.000000
Implanon NXT (Etonogestre) 68mg, implant;650.000000;.000000
Incubator, 30L, upto 80C;.000000;.000000
Indinavir 400mg ComprimÃ©;.000000;.000000
Inoculation loop 10ÂµL, 200mm;.000000;.000000
Inosinemonophosphate 0,1% Collyre;.000000;.000000
Insuline ACTRAPID HM 100 UI / ml, flacon de 10 ml;2900.000000;.000000
Insuline humaine action intermÃ©diaire 100UI/ml/10ml injection;.000000;.000000
Insuline humaine action rapide 100UI/ml/10ml injection;.000000;.000000
Insuline humaine prÃ©mÃ©langÃ©e (prÃ©mixte) 100UI/ml/10ml injection;.000000;.000000
Insuline INSULATARD HM 100 UI / ml, flacon de 10 ml;2900.000000;.000000
Insuline MIXTARD 30/70 HM 100 UI / ml, flacon de 10 ml;2900.000000;.000000
InterfÃ©ron PeguylÃ© 180UI injection;.000000;.000000
Iopamidol  300mg/10ml injection;.000000;.000000
Iopamidol 200mg/10ml injection;.000000;.000000
Iopamidol 370mg/10ml injection;.000000;.000000
Ipeca 0,14%  sirop;.000000;.000000
Irinotecan 40mg/2ml injection;.000000;.000000
IsoClean Kittel, Model IC 270 B, size L;.000000;.000000
IsoClean Kittel, Model IC 270 B, size M;.000000;.000000
IsoClean Kittel, Model IC 270 B, size S;.000000;.000000
Isoflurane Fl/250ml inhalation;33000.000000;.000000
Isolation Gown level 2, Large ;.000000;.000000
