code_sage;nom;unite;prix_unitaire;stock_disponible
WELLSESK_96PCRPLA;96 Well Semi-Skirted PCR Plate;Boite;.000000;.000000
ABALAM_180/_CP_OR;Abacavir + Lamivudine 120/60 mg;Boite;.000000;.000000
ABALAM_900/_CP_OR;Abacavir + Lamivudine 600/300 mg comp;Boite;.000000;.000000
ABLADO_95//_CP_OR;Abacavir 60mg + Lamivudine 30mg + Dolutégravir 5mg comp;Boite;.000000;.000000
ACCEBOXCHECK_////;Accessories box checklist;Ampoule;.000000;.000000
LYSIAC_1800_SI_IV;Acétylsalicylate de lysine 1800mg (soit 1 g d'AAS/5ml) injection;Boite;419.100000;.000000
LYSIAC_900/_SI_IV;Acétylsalicylate de lysine 900mg (soit 500mg d'AAS/5ml) injection;Boite;324.720000;.000000
ACISUF_250/_//_//;Acide sulfurique (aq) à 1/4 f/250 ml;Ampoule;.000000;.000000
ACUPAN_2///_CP_OR;ACUPAN SOL INJ 2ML AFR, B/30;Boite;2796.800000;.000000
ADAPTER/_EUUK////;Adapter EU to UK;Boite;.000000;.000000
ADAPTER/_EUUSA///;Adapter EU to USA;Boite;.000000;.000000
ADRENA_2%//_SI_IV;Adrenaline, 1mg/ml;Boite;528.000000;478.000000
ANTIHUMAAGH_IGGC;AGH Maestria IgG+C3d (4x10ml);Boite;.000000;.000000
AIGUILSERING_21G/;Aiguille à Seringue 21G;Boite;.000000;.000000
AIGEPI_UU19G//_//;Aiguille épicrânienne 19G, Luer, UU. Aigui.:section 1,10 mm  ;Boite;37.950000;.000000
AIGEPI_UU21G//_//;Aiguille épicrânienne 21, Luer, UU. Aigui.:section 0.80 mm ;Boite;42.240000;.000000
AIGEPI_UU25G//_//;Aiguille épicrânienne, Luer, UU. Aigui.:section 0.50 mm 25G, ;Boite;42.240000;8251.000000
AIGEPI_UU23G//_//;Aiguille épicrânienne, Luer, UU. Aigui.:section 0.80 mm 23G, ;Boite;46.200000;9344.000000
AIGHYP_UU21G//_//;Aiguille Hypodermique 21G;Boite;.000000;.000000
AIGHYP_UU23G//_//;Aiguille Hypodermique, Luer, Usage Unique 40 mm 23G * 1.5;Boite;12.800000;.000000
AIGVAC_///////_//;Aiguille Vacutainer;Boite;64.000000;.000000
AIGVAC_UU21G//_//;Aiguille Vacutainer 40x0.8 21Gx1.5;Boite;.000000;.000000
ALBEND_400/_CP_OR;Albendazole 400mg comprimé;Boite;198.000000;.000000
ALBEND_400/_SP_OR;Albendazole 400mg sirop;Boite;330.000000;.000000
ALCOSWAB_30X60M//;Alcohol swabs 30 x 60mm;Boite;.000000;.000000
ALCOET_70%/_CU_1/;Alcool éthylique à 70 % 1L;Bidon;2041.000000;.000000
ALCOET_95%/_CU_1/;Alcool éthylique à 95 % 1L;Boite;2041.000000;398.000000
ALERESMS_PRINTER/;Alere SMS printer;Boite;.000000;.000000
ALUMHY_500/_CP_OR;Aluminium Hydroxyde 500 mg, Comprimés;Boite;14.520000;60000.000000
AMIDER_30G/_CR_CU;Amiderm CR T/30G;Boite;1600.800000;.000000
AMLOPE_5///_CP_OR;Amloperin 5MG CP, B/30;Boite;6898.850000;.000000
AMOCLA_1125_CP_OR;Amoxycilline + Acide Clavulanique 1000mg + 125mg Comprimé;Boite;287.500000;.000000
AMOCLA_1125_SP_OR;Amoxycilline + Acide Clavulanique 1000mg + 125mg Sachet;Boite;287.500000;832.000000
AMOCLA_1200_SI_IV;Amoxycilline + Acide Clavulanique 1000mg+200mg/Flacon injection;Boite;1700.000000;.000000
AMOCLA_625/_CP_OR;Amoxycilline + Acide Clavulanique 500 mg/125 mg, Comprimés;Boite;242.870000;.000000
AMOCLA_550/_SI_IV;Amoxycilline + Acide Clavulanique 500mg+50mg/Flacon injection;Boite;.000000;.000000
AMOXYC_50//_SP_60;Amoxycilline 250 mg / 5ml, Poudre pour Sirop, 60ml ;Boite;904.200000;2528.000000
AMOXIC_250/_CP_OR;Amoxycilline 250 mg, sous blister, Comprimés;Boite;15.220000;.000000
AMOXIC_500/_CP_OR;Amoxycilline 500 mg, sous blister, Comprimés;Boite;40.260000;.000000
AMOXIC_500/_GE_OR;Amoxycilline 500 mg, sous blister, Gélule;Boite;40.260000;200500.000000
AMPEAU_312/_SI_IV;Ampiciline + Eau 1000 mg/3,2ml injection;Boite;323.400000;.000000
AMPICI_312/_SI_IV;Ampiciline 1000 mg/3,2ml injection;Boite;296.000000;26960.000000
